SampleID	Nature	Platform	Method	Patient	Patient_1
16S_TAX4FUN_CUS_air_9	Air	16S	TAX4FUN-CUS	sample_9	sample_9_TAX4FUN-CUS
WGS_sample_0_GI	GI	WGS	Humann	sample_0	sample_0_Humann
16S_METGEM_GI_0	GI	16S	METGEM	sample_0	sample_0_METGEM
16S_METGEM_CUS_GI_0	GI	16S	METGEM-CUS	sample_0	sample_0_METGEM-CUS
16S_PANFP_CUS_GI_0	GI	16S	PANFP-CUS	sample_0	sample_0_PANFP-CUS
16S_PICRUST_GI_0	GI	16S	PICRUST	sample_0	sample_0_PICRUST
16S_PICRUST_CUS_GI_0	GI	16S	PICRUST-CUS	sample_0	sample_0_PICRUST-CUS
16S_TAX4FUN_GI_0	GI	16S	TAX4FUN	sample_0	sample_0_TAX4FUN
16S_TAX4FUN_CUS_GI_0	GI	16S	TAX4FUN-CUS	sample_0	sample_0_TAX4FUN-CUS
WGS_sample_1_GI	GI	WGS	Humann	sample_1	sample_1_Humann
16S_METGEM_GI_1	GI	16S	METGEM	sample_1	sample_1_METGEM
16S_METGEM_CUS_GI_1	GI	16S	METGEM-CUS	sample_1	sample_1_METGEM-CUS
16S_PANFP_CUS_GI_1	GI	16S	PANFP-CUS	sample_1	sample_1_PANFP-CUS
16S_PICRUST_GI_1	GI	16S	PICRUST	sample_1	sample_1_PICRUST
16S_PICRUST_CUS_GI_1	GI	16S	PICRUST-CUS	sample_1	sample_1_PICRUST-CUS
16S_TAX4FUN_GI_1	GI	16S	TAX4FUN	sample_1	sample_1_TAX4FUN
16S_TAX4FUN_CUS_GI_1	GI	16S	TAX4FUN-CUS	sample_1	sample_1_TAX4FUN-CUS
WGS_sample_10_GI	GI	WGS	Humann	sample_10	sample_10_Humann
16S_METGEM_GI_10	GI	16S	METGEM	sample_10	sample_10_METGEM
16S_METGEM_CUS_GI_10	GI	16S	METGEM-CUS	sample_10	sample_10_METGEM-CUS
16S_PANFP_CUS_GI_10	GI	16S	PANFP-CUS	sample_10	sample_10_PANFP-CUS
16S_PICRUST_GI_10	GI	16S	PICRUST	sample_10	sample_10_PICRUST
16S_PICRUST_CUS_GI_10	GI	16S	PICRUST-CUS	sample_10	sample_10_PICRUST-CUS
16S_TAX4FUN_GI_10	GI	16S	TAX4FUN	sample_10	sample_10_TAX4FUN
16S_TAX4FUN_CUS_GI_10	GI	16S	TAX4FUN-CUS	sample_10	sample_10_TAX4FUN-CUS
WGS_sample_11_GI	GI	WGS	Humann	sample_11	sample_11_Humann
16S_METGEM_GI_11	GI	16S	METGEM	sample_11	sample_11_METGEM
16S_METGEM_CUS_GI_11	GI	16S	METGEM-CUS	sample_11	sample_11_METGEM-CUS
16S_PANFP_CUS_GI_11	GI	16S	PANFP-CUS	sample_11	sample_11_PANFP-CUS
16S_PICRUST_GI_11	GI	16S	PICRUST	sample_11	sample_11_PICRUST
16S_PICRUST_CUS_GI_11	GI	16S	PICRUST-CUS	sample_11	sample_11_PICRUST-CUS
16S_TAX4FUN_GI_11	GI	16S	TAX4FUN	sample_11	sample_11_TAX4FUN
16S_TAX4FUN_CUS_GI_11	GI	16S	TAX4FUN-CUS	sample_11	sample_11_TAX4FUN-CUS
WGS_sample_12_GI	GI	WGS	Humann	sample_12	sample_12_Humann
16S_METGEM_GI_12	GI	16S	METGEM	sample_12	sample_12_METGEM
16S_METGEM_CUS_GI_12	GI	16S	METGEM-CUS	sample_12	sample_12_METGEM-CUS
16S_PANFP_CUS_GI_12	GI	16S	PANFP-CUS	sample_12	sample_12_PANFP-CUS
16S_PICRUST_GI_12	GI	16S	PICRUST	sample_12	sample_12_PICRUST
16S_PICRUST_CUS_GI_12	GI	16S	PICRUST-CUS	sample_12	sample_12_PICRUST-CUS
16S_TAX4FUN_GI_12	GI	16S	TAX4FUN	sample_12	sample_12_TAX4FUN
16S_TAX4FUN_CUS_GI_12	GI	16S	TAX4FUN-CUS	sample_12	sample_12_TAX4FUN-CUS
WGS_sample_2_GI	GI	WGS	Humann	sample_2	sample_2_Humann
16S_METGEM_GI_2	GI	16S	METGEM	sample_2	sample_2_METGEM
16S_METGEM_CUS_GI_2	GI	16S	METGEM-CUS	sample_2	sample_2_METGEM-CUS
16S_PANFP_CUS_GI_2	GI	16S	PANFP-CUS	sample_2	sample_2_PANFP-CUS
16S_PICRUST_GI_2	GI	16S	PICRUST	sample_2	sample_2_PICRUST
16S_PICRUST_CUS_GI_2	GI	16S	PICRUST-CUS	sample_2	sample_2_PICRUST-CUS
16S_TAX4FUN_GI_2	GI	16S	TAX4FUN	sample_2	sample_2_TAX4FUN
16S_TAX4FUN_CUS_GI_2	GI	16S	TAX4FUN-CUS	sample_2	sample_2_TAX4FUN-CUS
WGS_sample_3_GI	GI	WGS	Humann	sample_3	sample_3_Humann
16S_METGEM_GI_3	GI	16S	METGEM	sample_3	sample_3_METGEM
16S_METGEM_CUS_GI_3	GI	16S	METGEM-CUS	sample_3	sample_3_METGEM-CUS
16S_PANFP_CUS_GI_3	GI	16S	PANFP-CUS	sample_3	sample_3_PANFP-CUS
16S_PICRUST_GI_3	GI	16S	PICRUST	sample_3	sample_3_PICRUST
16S_PICRUST_CUS_GI_3	GI	16S	PICRUST-CUS	sample_3	sample_3_PICRUST-CUS
16S_TAX4FUN_GI_3	GI	16S	TAX4FUN	sample_3	sample_3_TAX4FUN
16S_TAX4FUN_CUS_GI_3	GI	16S	TAX4FUN-CUS	sample_3	sample_3_TAX4FUN-CUS
WGS_sample_4_GI	GI	WGS	Humann	sample_4	sample_4_Humann
16S_METGEM_GI_4	GI	16S	METGEM	sample_4	sample_4_METGEM
16S_METGEM_CUS_GI_4	GI	16S	METGEM-CUS	sample_4	sample_4_METGEM-CUS
16S_PANFP_CUS_GI_4	GI	16S	PANFP-CUS	sample_4	sample_4_PANFP-CUS
16S_PICRUST_GI_4	GI	16S	PICRUST	sample_4	sample_4_PICRUST
16S_PICRUST_CUS_GI_4	GI	16S	PICRUST-CUS	sample_4	sample_4_PICRUST-CUS
16S_TAX4FUN_GI_4	GI	16S	TAX4FUN	sample_4	sample_4_TAX4FUN
16S_TAX4FUN_CUS_GI_4	GI	16S	TAX4FUN-CUS	sample_4	sample_4_TAX4FUN-CUS
WGS_sample_5_GI	GI	WGS	Humann	sample_5	sample_5_Humann
16S_METGEM_GI_5	GI	16S	METGEM	sample_5	sample_5_METGEM
16S_METGEM_CUS_GI_5	GI	16S	METGEM-CUS	sample_5	sample_5_METGEM-CUS
16S_PANFP_CUS_GI_5	GI	16S	PANFP-CUS	sample_5	sample_5_PANFP-CUS
16S_PICRUST_GI_5	GI	16S	PICRUST	sample_5	sample_5_PICRUST
16S_PICRUST_CUS_GI_5	GI	16S	PICRUST-CUS	sample_5	sample_5_PICRUST-CUS
16S_TAX4FUN_GI_5	GI	16S	TAX4FUN	sample_5	sample_5_TAX4FUN
16S_TAX4FUN_CUS_GI_5	GI	16S	TAX4FUN-CUS	sample_5	sample_5_TAX4FUN-CUS
WGS_sample_9_GI	GI	WGS	Humann	sample_9	sample_9_Humann
16S_METGEM_GI_9	GI	16S	METGEM	sample_9	sample_9_METGEM
16S_METGEM_CUS_GI_9	GI	16S	METGEM-CUS	sample_9	sample_9_METGEM-CUS
16S_PANFP_CUS_GI_9	GI	16S	PANFP-CUS	sample_9	sample_9_PANFP-CUS
16S_PICRUST_GI_9	GI	16S	PICRUST	sample_9	sample_9_PICRUST
16S_PICRUST_CUS_GI_9	GI	16S	PICRUST-CUS	sample_9	sample_9_PICRUST-CUS
16S_TAX4FUN_GI_9	GI	16S	TAX4FUN	sample_9	sample_9_TAX4FUN
16S_TAX4FUN_CUS_GI_9	GI	16S	TAX4FUN-CUS	sample_9	sample_9_TAX4FUN-CUS
WGS_sample_13_oral	Oral	WGS	Humann	sample_13	sample_13_Humann
16S_METGEM_oral_13	Oral	16S	METGEM	sample_13	sample_13_METGEM
16S_METGEM_CUS_oral_13	Oral	16S	METGEM-CUS	sample_13	sample_13_METGEM-CUS
16S_PANFP_CUS_oral_13	Oral	16S	PANFP-CUS	sample_13	sample_13_PANFP-CUS
16S_PICRUST_oral_13	Oral	16S	PICRUST	sample_13	sample_13_PICRUST
16S_PICRUST_CUS_oral_13	Oral	16S	PICRUST-CUS	sample_13	sample_13_PICRUST-CUS
16S_TAX4FUN_oral_13	Oral	16S	TAX4FUN	sample_13	sample_13_TAX4FUN
16S_TAX4FUN_CUS_oral_13	Oral	16S	TAX4FUN-CUS	sample_13	sample_13_TAX4FUN-CUS
WGS_sample_14_oral	Oral	WGS	Humann	sample_14	sample_14_Humann
16S_METGEM_oral_14	Oral	16S	METGEM	sample_14	sample_14_METGEM
16S_METGEM_CUS_oral_14	Oral	16S	METGEM-CUS	sample_14	sample_14_METGEM-CUS
16S_PANFP_CUS_oral_14	Oral	16S	PANFP-CUS	sample_14	sample_14_PANFP-CUS
16S_PICRUST_oral_14	Oral	16S	PICRUST	sample_14	sample_14_PICRUST
16S_PICRUST_CUS_oral_14	Oral	16S	PICRUST-CUS	sample_14	sample_14_PICRUST-CUS
16S_TAX4FUN_oral_14	Oral	16S	TAX4FUN	sample_14	sample_14_TAX4FUN
16S_TAX4FUN_CUS_oral_14	Oral	16S	TAX4FUN-CUS	sample_14	sample_14_TAX4FUN-CUS
WGS_sample_15_oral	Oral	WGS	Humann	sample_15	sample_15_Humann
16S_METGEM_oral_15	Oral	16S	METGEM	sample_15	sample_15_METGEM
16S_METGEM_CUS_oral_15	Oral	16S	METGEM-CUS	sample_15	sample_15_METGEM-CUS
16S_PANFP_CUS_oral_15	Oral	16S	PANFP-CUS	sample_15	sample_15_PANFP-CUS
16S_PICRUST_oral_15	Oral	16S	PICRUST	sample_15	sample_15_PICRUST
16S_PICRUST_CUS_oral_15	Oral	16S	PICRUST-CUS	sample_15	sample_15_PICRUST-CUS
16S_TAX4FUN_oral_15	Oral	16S	TAX4FUN	sample_15	sample_15_TAX4FUN
16S_TAX4FUN_CUS_oral_15	Oral	16S	TAX4FUN-CUS	sample_15	sample_15_TAX4FUN-CUS
WGS_sample_16_oral	Oral	WGS	Humann	sample_16	sample_16_Humann
16S_METGEM_oral_16	Oral	16S	METGEM	sample_16	sample_16_METGEM
16S_METGEM_CUS_oral_16	Oral	16S	METGEM-CUS	sample_16	sample_16_METGEM-CUS
16S_PANFP_CUS_oral_16	Oral	16S	PANFP-CUS	sample_16	sample_16_PANFP-CUS
16S_PICRUST_oral_16	Oral	16S	PICRUST	sample_16	sample_16_PICRUST
16S_PICRUST_CUS_oral_16	Oral	16S	PICRUST-CUS	sample_16	sample_16_PICRUST-CUS
16S_TAX4FUN_oral_16	Oral	16S	TAX4FUN	sample_16	sample_16_TAX4FUN
16S_TAX4FUN_CUS_oral_16	Oral	16S	TAX4FUN-CUS	sample_16	sample_16_TAX4FUN-CUS
WGS_sample_17_oral	Oral	WGS	Humann	sample_17	sample_17_Humann
16S_METGEM_oral_17	Oral	16S	METGEM	sample_17	sample_17_METGEM
16S_METGEM_CUS_oral_17	Oral	16S	METGEM-CUS	sample_17	sample_17_METGEM-CUS
16S_PANFP_CUS_oral_17	Oral	16S	PANFP-CUS	sample_17	sample_17_PANFP-CUS
16S_PICRUST_oral_17	Oral	16S	PICRUST	sample_17	sample_17_PICRUST
16S_PICRUST_CUS_oral_17	Oral	16S	PICRUST-CUS	sample_17	sample_17_PICRUST-CUS
16S_TAX4FUN_oral_17	Oral	16S	TAX4FUN	sample_17	sample_17_TAX4FUN
16S_TAX4FUN_CUS_oral_17	Oral	16S	TAX4FUN-CUS	sample_17	sample_17_TAX4FUN-CUS
WGS_sample_18_oral	Oral	WGS	Humann	sample_18	sample_18_Humann
16S_METGEM_oral_18	Oral	16S	METGEM	sample_18	sample_18_METGEM
16S_METGEM_CUS_oral_18	Oral	16S	METGEM-CUS	sample_18	sample_18_METGEM-CUS
16S_PANFP_CUS_oral_18	Oral	16S	PANFP-CUS	sample_18	sample_18_PANFP-CUS
16S_PICRUST_oral_18	Oral	16S	PICRUST	sample_18	sample_18_PICRUST
16S_PICRUST_CUS_oral_18	Oral	16S	PICRUST-CUS	sample_18	sample_18_PICRUST-CUS
16S_TAX4FUN_oral_18	Oral	16S	TAX4FUN	sample_18	sample_18_TAX4FUN
16S_TAX4FUN_CUS_oral_18	Oral	16S	TAX4FUN-CUS	sample_18	sample_18_TAX4FUN-CUS
WGS_sample_19_oral	Oral	WGS	Humann	sample_19	sample_19_Humann
16S_METGEM_oral_19	Oral	16S	METGEM	sample_19	sample_19_METGEM
16S_METGEM_CUS_oral_19	Oral	16S	METGEM-CUS	sample_19	sample_19_METGEM-CUS
16S_PANFP_CUS_oral_19	Oral	16S	PANFP-CUS	sample_19	sample_19_PANFP-CUS
16S_PICRUST_oral_19	Oral	16S	PICRUST	sample_19	sample_19_PICRUST
16S_PICRUST_CUS_oral_19	Oral	16S	PICRUST-CUS	sample_19	sample_19_PICRUST-CUS
16S_TAX4FUN_oral_19	Oral	16S	TAX4FUN	sample_19	sample_19_TAX4FUN
16S_TAX4FUN_CUS_oral_19	Oral	16S	TAX4FUN-CUS	sample_19	sample_19_TAX4FUN-CUS
WGS_sample_6_oral	Oral	WGS	Humann	sample_6	sample_6_Humann
16S_METGEM_oral_6	Oral	16S	METGEM	sample_6	sample_6_METGEM
16S_METGEM_CUS_oral_6	Oral	16S	METGEM-CUS	sample_6	sample_6_METGEM-CUS
16S_PANFP_CUS_oral_6	Oral	16S	PANFP-CUS	sample_6	sample_6_PANFP-CUS
16S_PICRUST_oral_6	Oral	16S	PICRUST	sample_6	sample_6_PICRUST
16S_PICRUST_CUS_oral_6	Oral	16S	PICRUST-CUS	sample_6	sample_6_PICRUST-CUS
16S_TAX4FUN_oral_6	Oral	16S	TAX4FUN	sample_6	sample_6_TAX4FUN
16S_TAX4FUN_CUS_oral_6	Oral	16S	TAX4FUN-CUS	sample_6	sample_6_TAX4FUN-CUS
WGS_sample_7_oral	Oral	WGS	Humann	sample_7	sample_7_Humann
16S_METGEM_oral_7	Oral	16S	METGEM	sample_7	sample_7_METGEM
16S_METGEM_CUS_oral_7	Oral	16S	METGEM-CUS	sample_7	sample_7_METGEM-CUS
16S_PANFP_CUS_oral_7	Oral	16S	PANFP-CUS	sample_7	sample_7_PANFP-CUS
16S_PICRUST_oral_7	Oral	16S	PICRUST	sample_7	sample_7_PICRUST
16S_PICRUST_CUS_oral_7	Oral	16S	PICRUST-CUS	sample_7	sample_7_PICRUST-CUS
16S_TAX4FUN_oral_7	Oral	16S	TAX4FUN	sample_7	sample_7_TAX4FUN
16S_TAX4FUN_CUS_oral_7	Oral	16S	TAX4FUN-CUS	sample_7	sample_7_TAX4FUN-CUS
WGS_sample_8_oral	Oral	WGS	Humann	sample_8	sample_8_Humann
16S_METGEM_oral_8	Oral	16S	METGEM	sample_8	sample_8_METGEM
16S_METGEM_CUS_oral_8	Oral	16S	METGEM-CUS	sample_8	sample_8_METGEM-CUS
16S_PANFP_CUS_oral_8	Oral	16S	PANFP-CUS	sample_8	sample_8_PANFP-CUS
16S_PICRUST_oral_8	Oral	16S	PICRUST	sample_8	sample_8_PICRUST
16S_PICRUST_CUS_oral_8	Oral	16S	PICRUST-CUS	sample_8	sample_8_PICRUST-CUS
16S_TAX4FUN_oral_8	Oral	16S	TAX4FUN	sample_8	sample_8_TAX4FUN
16S_TAX4FUN_CUS_oral_8	Oral	16S	TAX4FUN-CUS	sample_8	sample_8_TAX4FUN-CUS
WGS_skin_sample_1	Skin	WGS	Humann	sample_1	sample_1_Humann
16S_METGEM_skin_1	Skin	16S	METGEM	sample_1	sample_1_METGEM
16S_METGEM_CUS_skin_1	Skin	16S	METGEM-CUS	sample_1	sample_1_METGEM-CUS
16S_PANFP_skin_1	Skin	16S	PANFP	sample_1	sample_1_PANFP
16S_PANFP_CUS_skin_1	Skin	16S	PANFP-CUS	sample_1	sample_1_PANFP-CUS
16S_PICRUST_skin_1	Skin	16S	PICRUST	sample_1	sample_1_PICRUST
16S_PICRUST_CUS_skin_1	Skin	16S	PICRUST-CUS	sample_1	sample_1_PICRUST-CUS
16S_TAX4FUN_skin_1	Skin	16S	TAX4FUN	sample_1	sample_1_TAX4FUN
16S_TAX4FUN_CUS_skin_1	Skin	16S	TAX4FUN-CUS	sample_1	sample_1_TAX4FUN-CUS
WGS_skin_sample_13	Skin	WGS	Humann	sample_13	sample_13_Humann
16S_METGEM_skin_13	Skin	16S	METGEM	sample_13	sample_13_METGEM
16S_METGEM_CUS_skin_13	Skin	16S	METGEM-CUS	sample_13	sample_13_METGEM-CUS
16S_PANFP_skin_13	Skin	16S	PANFP	sample_13	sample_13_PANFP
16S_PANFP_CUS_skin_13	Skin	16S	PANFP-CUS	sample_13	sample_13_PANFP-CUS
16S_PICRUST_skin_13	Skin	16S	PICRUST	sample_13	sample_13_PICRUST
16S_PICRUST_CUS_skin_13	Skin	16S	PICRUST-CUS	sample_13	sample_13_PICRUST-CUS
16S_TAX4FUN_skin_13	Skin	16S	TAX4FUN	sample_13	sample_13_TAX4FUN
16S_TAX4FUN_CUS_skin_13	Skin	16S	TAX4FUN-CUS	sample_13	sample_13_TAX4FUN-CUS
WGS_skin_sample_14	Skin	WGS	Humann	sample_14	sample_14_Humann
16S_METGEM_skin_14	Skin	16S	METGEM	sample_14	sample_14_METGEM
16S_METGEM_CUS_skin_14	Skin	16S	METGEM-CUS	sample_14	sample_14_METGEM-CUS
16S_PANFP_skin_14	Skin	16S	PANFP	sample_14	sample_14_PANFP
16S_PANFP_CUS_skin_14	Skin	16S	PANFP-CUS	sample_14	sample_14_PANFP-CUS
16S_PICRUST_skin_14	Skin	16S	PICRUST	sample_14	sample_14_PICRUST
16S_PICRUST_CUS_skin_14	Skin	16S	PICRUST-CUS	sample_14	sample_14_PICRUST-CUS
16S_TAX4FUN_skin_14	Skin	16S	TAX4FUN	sample_14	sample_14_TAX4FUN
16S_TAX4FUN_CUS_skin_14	Skin	16S	TAX4FUN-CUS	sample_14	sample_14_TAX4FUN-CUS
WGS_skin_sample_15	Skin	WGS	Humann	sample_15	sample_15_Humann
16S_METGEM_skin_15	Skin	16S	METGEM	sample_15	sample_15_METGEM
16S_METGEM_CUS_skin_15	Skin	16S	METGEM-CUS	sample_15	sample_15_METGEM-CUS
16S_PANFP_skin_15	Skin	16S	PANFP	sample_15	sample_15_PANFP
16S_PANFP_CUS_skin_15	Skin	16S	PANFP-CUS	sample_15	sample_15_PANFP-CUS
16S_PICRUST_skin_15	Skin	16S	PICRUST	sample_15	sample_15_PICRUST
16S_PICRUST_CUS_skin_15	Skin	16S	PICRUST-CUS	sample_15	sample_15_PICRUST-CUS
16S_TAX4FUN_skin_15	Skin	16S	TAX4FUN	sample_15	sample_15_TAX4FUN
16S_TAX4FUN_CUS_skin_15	Skin	16S	TAX4FUN-CUS	sample_15	sample_15_TAX4FUN-CUS
WGS_skin_sample_16	Skin	WGS	Humann	sample_16	sample_16_Humann
16S_METGEM_skin_16	Skin	16S	METGEM	sample_16	sample_16_METGEM
16S_METGEM_CUS_skin_16	Skin	16S	METGEM-CUS	sample_16	sample_16_METGEM-CUS
16S_PANFP_skin_16	Skin	16S	PANFP	sample_16	sample_16_PANFP
16S_PANFP_CUS_skin_16	Skin	16S	PANFP-CUS	sample_16	sample_16_PANFP-CUS
16S_PICRUST_skin_16	Skin	16S	PICRUST	sample_16	sample_16_PICRUST
16S_PICRUST_CUS_skin_16	Skin	16S	PICRUST-CUS	sample_16	sample_16_PICRUST-CUS
16S_TAX4FUN_skin_16	Skin	16S	TAX4FUN	sample_16	sample_16_TAX4FUN
